Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,18.261845,22.361443,18.030684,21.748156,15.600823,601155908
2001-02-01,21.616062,24.710810,20.474401,23.163437,16.616062,717034369
2001-03-01,23.493668,26.031740,18.879852,18.969486,13.607577,344625603
2001-04-01,18.776064,21.417923,17.488157,19.771479,14.182875,137717507
2001-05-01,19.771479,23.955994,19.771479,20.898987,14.991683,226046443
2001-06-01,20.993338,21.696260,19.634668,20.460249,14.676959,164587958
2001-07-01,20.309286,21.974600,18.908157,19.026096,13.648182,83694705
2001-08-01,19.059120,20.776327,18.535465,18.710018,13.738218,42486837
2001-09-01,18.559053,18.846828,13.214009,15.563376,11.427730,61401189
2001-10-01,15.572811,18.804371,15.572811,17.507029,12.854895,69535529
2001-11-01,17.643839,20.606495,17.502312,19.662973,14.437940,63969461
2001-12-01,19.252542,19.658257,15.851150,17.120186,12.570849,64009155
2002-01-01,17.266432,21.182041,17.219255,19.813936,14.548792,122950901
2002-02-01,19.974337,24.974997,19.908289,21.469816,15.764655,591635262
2002-03-01,21.323570,22.738852,20.587624,20.752741,15.238126,153354174
2002-04-01,21.040514,23.380445,20.766893,21.512276,15.795830,125826208
2002-05-01,21.512276,22.635065,20.054535,20.729153,15.220807,54509257
2002-06-01,20.875399,24.106956,20.757458,22.701111,16.668753,145524502
2002-07-01,22.833204,23.059649,20.828222,21.870813,16.059095,59350027
2002-08-01,22.078386,22.946426,21.210348,22.771875,17.143139,40754702
2002-09-01,22.946426,23.234200,21.144302,21.691544,16.329838,31166074
2002-10-01,21.724567,22.403902,21.512276,21.667955,16.312080,31066944
2002-11-01,21.795330,25.064631,21.715132,24.781574,18.656075,160838652
2002-12-01,25.003302,30.098314,24.248486,26.668615,20.076679,561359258
2003-01-01,27.357386,28.777386,25.286358,26.550676,19.987892,574740764
2003-02-01,26.937519,29.876587,26.786556,27.041307,20.357252,794590109
2003-03-01,27.126225,27.781971,25.168419,25.475061,19.178150,374998616
2003-04-01,25.380711,28.305626,25.380711,26.291208,19.792561,264803667
2003-05-01,26.291208,34.127148,26.177984,33.244957,25.027489,636281524
2003-06-01,32.457115,36.608608,32.089142,36.273659,27.307554,966552395
2003-07-01,36.297245,41.420563,35.759438,39.887344,30.028013,1139760746
2003-08-01,39.901497,43.401958,38.075783,41.580963,31.985773,1180370025
2003-09-01,41.963089,43.208534,37.330402,42.548073,32.729713,1039665850
2003-10-01,42.647141,48.006340,39.660896,45.680561,35.139355,1118325053
2003-11-01,45.949467,47.751591,41.279037,44.373783,34.134125,546793752
2003-12-01,45.100296,52.143681,42.576378,50.718964,39.015095,615191497
2004-01-01,50.997299,65.093498,50.959560,56.427261,43.406155,1303759508
2004-02-01,56.427261,61.333572,51.907799,55.148792,42.422710,1135997725
2004-03-01,55.342216,60.140018,48.586605,57.163212,43.972282,1069028616
2004-04-01,57.318890,62.838490,51.044476,60.597626,46.614162,860182271
2004-05-01,59.913574,62.045929,39.302361,43.887871,33.760330,1070503050
2004-06-01,44.345478,47.053383,38.137112,40.628006,31.252726,1407582640
2004-07-01,41.024284,50.695374,36.797314,41.713055,32.945026,1078909476
2004-08-01,41.807407,43.769932,39.165550,41.783821,33.000919,821766584
2004-09-01,42.222557,46.930725,41.812126,44.166210,34.882530,652282780
2004-10-01,44.109600,47.053383,41.146942,42.213123,33.339985,477516533
2004-11-01,42.316910,51.704941,42.227276,49.978298,39.472923,515856820
2004-12-01,50.025475,63.027191,47.553452,61.517559,48.586643,835959648
2005-01-01,61.753441,62.545998,53.025871,60.668388,47.915966,617429331
2005-02-01,60.385334,67.858017,52.808861,67.428719,53.255283,756888186
2005-03-01,67.084328,70.853699,60.102276,61.781742,48.795292,765443821
2005-04-01,61.800613,64.725533,54.912914,55.181816,43.582668,482270916
2005-05-01,55.479027,64.801010,54.351517,63.258354,49.961536,578811928
2005-06-01,63.168720,65.640747,54.158096,64.338684,50.814774,481506193
2005-07-01,64.348122,76.373291,62.475231,75.505257,60.750988,507720686
2005-08-01,75.387314,78.123528,70.764061,75.132561,60.451107,430646577
2005-09-01,75.576019,90.578003,74.656090,88.521126,71.223450,520257833
2005-10-01,88.502258,90.578003,75.910973,79.170830,63.700272,636247780
2005-11-01,82.062721,88.690956,77.415886,84.600800,68.069183,507178356
2005-12-01,85.199928,89.341988,81.340935,85.685844,68.942192,585787905
2006-01-01,86.096275,89.634483,82.902458,83.628967,67.287247,499219329
2006-02-01,83.879005,84.737602,80.024719,82.793953,66.615410,352917251
2006-03-01,82.850563,94.205841,82.388237,91.379990,73.523666,527557886
2006-04-01,91.521523,96.239128,80.199272,86.152885,69.317970,330501072
2006-05-01,86.803917,95.083313,75.292961,78.562263,63.210625,410357876
2006-06-01,79.255753,81.760796,66.518219,68.664726,55.247139,392481885
2006-07-01,69.348778,85.388634,64.584000,76.448776,62.653969,363866706
2006-08-01,75.670372,89.040062,74.953293,87.865379,72.010498,326948476
